code,n_seg,n_src,n_sch,sheet
SOL-SHARED-VALUE,7,7,4,10_SOLUTIONS
OUT-CULTURE-SAT,7,7,2,07_RELATED_OUTCOMES
CHAL-POLICY-PRACTICE,6,6,3,08_CHALLENGES
CHAL-SPACE,6,6,5,08_CHALLENGES
COMMIT-LONGTERM,6,6,3,02_INDIVIDUAL
CTX-SPECIAL-FEATURE,6,6,4,00_CONTEXT
CTX-DEPT,6,6,4,00_CONTEXT
CHAL-HR-LOAD,6,6,3,08_CHALLENGES
QA-ACCREDIT,6,6,3,01_STRUCTURAL
ENG-STUDENT,6,6,3,02_INDIVIDUAL
LEAD-FEEDBACK-POS,6,6,4,04_LEADERSHIP
LEAD-HIERARCHY,6,6,4,04_LEADERSHIP
CHAL-STUDENT-DIVERSITY,6,6,4,08_CHALLENGES
TRUST-LEVEL-MID,6,6,2,03_COLLECTIVE
CHAL-DATA,6,6,3,08_CHALLENGES
SOL-CURR-ALIGN,6,6,3,10_SOLUTIONS
SOL-COMM-TWOWAY,6,6,3,10_SOLUTIONS
QVAL-PARTICIPATION,6,6,3,06_QCULT_IDENTIFICATION
CHAL-LEAD-TURNOVER,6,6,3,08_CHALLENGES
OUT-SELF-COMMIT,5,5,3,07_RELATED_OUTCOMES
OUT-PD-RESPONSIBLE,5,5,3,07_RELATED_OUTCOMES
LEAD-EXPECT-CONSISTENT,5,5,3,04_LEADERSHIP
OUT-PD-EXCHANGE,5,5,3,07_RELATED_OUTCOMES
COLLAB-CROSS-DEPT,5,5,3,05_COMMUNICATION_PARTICIPATION
LEAD-STYLE,5,5,3,04_LEADERSHIP
SOL-STUDENT-QUALITY,5,5,3,10_SOLUTIONS
QCULT-CLEAR-UNCLEAR,5,5,3,06_QCULT_IDENTIFICATION
QA-REPORT,5,5,3,01_STRUCTURAL
QA-GOAL-BINDING,5,5,1,01_STRUCTURAL
QA-GOAL-ANNUAL,5,5,3,01_STRUCTURAL
GOV-ACCOUNTABILITY,5,5,3,04_LEADERSHIP
CHAL-BUDGET,5,5,4,08_CHALLENGES
CHAL-FORMAL,5,5,4,08_CHALLENGES
CHAL-TRUST,5,5,3,08_CHALLENGES
CTX-BRIDGE,5,5,2,00_CONTEXT
SOL-LEAD-SUPPORT,5,5,2,10_SOLUTIONS
SOL-TEACHER-LEVEL,5,5,3,10_SOLUTIONS
VALUE-INDIVIDUAL,5,5,2,03_COLLECTIVE
SOL-LEAD-CLEAR,5,5,2,10_SOLUTIONS
SOL-INTERNATIONAL,5,5,2,10_SOLUTIONS
SELF-EVAL,5,5,3,02_INDIVIDUAL
SOL-TRUST,5,5,3,10_SOLUTIONS
PART-PLAN,4,4,2,05_COMMUNICATION_PARTICIPATION
COLLAB-CROSS-LEVEL,4,4,3,05_COMMUNICATION_PARTICIPATION
COLLAB-LIMIT,4,4,3,05_COMMUNICATION_PARTICIPATION
CHAL-TRANSPARENCY,4,4,2,08_CHALLENGES
CAUSE-PEOPLE,4,4,3,09_CAUSES
LEAD-FOREIGN,4,4,2,04_LEADERSHIP
OUT-BURNOUT,4,4,4,07_RELATED_OUTCOMES
OUT-MORALE,4,4,4,07_RELATED_OUTCOMES
CAUSE-COMM,4,4,3,09_CAUSES
VALUE-COMMUNICATED,4,4,3,03_COLLECTIVE
QVAL-UNDERSTANDING,4,4,3,06_QCULT_IDENTIFICATION
